leaf	row	page	line	where	col	printed	read	note
32	37	74	1	сверху	правый	вечеръ и утр	вечеръ и утро
32	38	76	23	снизу	лѣвый	восклиновеніе	восклиновеніи
32	39	76	24	сверху	правый	Авв. 11, 3	Авв. 2, 3.
32	40	77	18—19	сверху	лѣвый	ὑποθέσις	ὑπόθεσις
32	41	77	18	снизу	лѣвый	Іор.	Іер.
32	42	78	22	сверху	правый	αὐρα	αὔρα
32	43	79	25	снизу	правый	бладычество	владычество
33	1	80	2	сверху	лѣвый	ἠγεμών	ἡγεμών.	breathing
33	2	80	8	сверху	правый	есть	ѣсть	
33	3	82	24—25	сверху	лѣвый	Лук. 10, 34	Матѳ. 10, 34.	
33	4	82	25	сверху	правый	Пс. 68, 1	Пс. 68, 2	
33	5	84	3	сверху	лѣвый	ἱδρύμα	ἵδρυμα	the accent moves
33	6	84	17	снизу	лѣвый	τὰ ἐπιδυμητά	τὰ ἐπιθυμετά	δ → θ, η → ε
33	7	85	26—27	снизу	правый	Пс. LVIII 1, 3	Пс. LVIII, 13	
33	8	93	10	сверху	правый	ἀντίτοπον	ἀντίτυπον	
33	9	94	13	снизу	правый	Гильдебрантъ	Гильтебрандтъ	
33	10	96	11	снизу	правый	ибрать	избрать	
33	11	98	23	сверху	лѣвый	Іонновичъ	Іоанновичъ	
33	12	98	8—9	сверху	правый	причислть	причислять	
33	13	103	8—9	сверху	лѣвый	πάνολβιος	πάνολβος	
33	14	103	12	сверху	лѣвый	{Всевиноке́нъ}[?]	{Всевино́кенъ}[?]	CS type, an accent moves — to be checked
33	15	103	16—17	сверху	лѣвый	Вседержатель	Вседержитель	
33	16	104	10	сверху	лѣвый	ὀλότροπος[?]	ὁλότροπος[?]	breathing — to be checked
33	17	104	15	сверху	лѣвый	{Всеорꙋ́жество}[?]	{Всеорꙋже́ство}[?]	CS type, an accent moves — to be checked
33	18	112					Въ понятіи {Высота́} 4 раза встрѣчается υψος вмѣсто ὕψος	an instruction, not a substitution
33	19	112	14	снизу	правый	ὁ ἄνωδεν[?]	ὁ ἄνωθεν[?]	δ → θ — to be checked
33	20	120	7—8	сверху	лѣвый	(Исаіи 6; Матѳ. 4, 16)	(Исаіи 9, 1; Матѳ. 4, 15)	
33	21	123	8	сверху	лѣвый	3 П. 12, 24	3 Ц. 12, 24.	
33	22	124	8	сверху	лѣвый	въ выраженію	къ выраженію	
33	23	124	26—27	сверху	лѣвый	лады(ж)шка.	лодыжка	
33	24	126	27	снизу	лѣвый	сжедневно	ежедневно	
33	25	126	13	снизу	лѣвый	αἰδέσιμος	αἰδεστός	
33	26	128	11	сверху	лѣвый	1 Сол. 5, 16	1 Сол. 5, 15	
33	27	128	8	сверху	правый	Втор. 33, 1	Втор. 33, 2	
33	28	128	14	снизу	правый	ὑβρίς	ὕβρις	
33	29	129	11	снизу	правый	ξέων	ζέων	
33	30	133	9	сверху	лѣвый	σωρός	σορός	
33	31	134	1	сверху	лѣвый	(2 Кор. 5, 24)	(2 Кор. 5, 21)	
33	32	135	16	сверху	лѣвый	{Гоуштеръ}—плащъ, шинель	{Гоуштеръ} — ящерица	
33	33	135	30	снизу	лѣвый	δοτὴρ	δωτήρ	
33	34	138	7	снизу	лѣвый	(Іез. 16, 6)	(Іез. 16, 26)	
33	35	140	—	снизу	лѣвый	ἐωσφόρος	ἑωσφόρος	breathing
33	36	142	10	сверху	лѣвый	{Держ}	{Держꙋ}	
33	37	142	16	снизу	лѣвый	2 Кор. 17, 16	2 Кор. 7, 16	
33	38	142	9	снизу	лѣвый	δαρρηκῶς	θαρρηκῶς	δ → θ
33	39	142	15	сверху	правый	μῦσος	μύσος	the accent moves
33	40	142	22	сверху	правый	Micl.	Mikl.	
33	41	144	17	сверху	лѣвый	Закх. 3, 8	Зах. 3, 8	
33	42	146	11	снизу	лѣвый	{Длѥ} — долина	{Длѥ} — длина	
33	43	146	27	снизу	правый	(Лук. 13, 22)	(Лук. 13, 32)	
33	44	147	17	снизу	лѣвый	καλιπάρθενος	καλλιπαρθένος	
33	45	147	11	снизу	лѣвый	2 Петр. 2, 9	1 Петр. 2, 9	
33	46	148	23	сверху	лѣвый	εὔλημος	εὔφημος	
33	47	149	15	сверху	лѣвый	Гильдебр.	Гильтебр.	
33	48	152	27—28	снизу	лѣвый	(Быт. 59, 4)	(Быт. 49, 4)	
33	49	154	12	снизу	правый	ξυλοκόπας	ξυλοκόπος	
33	50	155	6	снизу	правый	τρύγμαι	τρύχομαι	
33	51	156	25—26	сверху	лѣвый	σκυτραπός	σκυθρωπός	
33	52	156	8	сверху	правый	ἡ καλάς	ἡ κοιλάς	
33	53	161	23	сверху	правый	{Дьноу}	{Дьноу}	the two differ in the CS letters — to be checked
