form	count	lemma	pos	nl
богоизбранная	3	Богоизбра́нный	adj	door God uitverkoren; Godsuitverkoren
богом	2	Бог	n.m	God
богоматере	5	Богома́ти	n.f	Moeder Gods; Godsmoeder
богоматери	1	Богома́ти	n.f	Moeder Gods; Godsmoeder
богоматерни	1	Богома́терний	adj	van de Moeder Gods; Godsmoederlijk
богоматерними	1	Богома́терний	adj	van de Moeder Gods; Godsmoederlijk
богоматерню	1	Богома́терний	adj	van de Moeder Gods; Godsmoederlijk
богомати	6	Богома́ти	n.f	Moeder Gods; Godsmoeder
богоноснеи	1	Богоно́сный	adj	Goddragend
богопознания	1	богопозна́ние	n.n	Godskennis; kennis van God
богородительнице	2	Богороди́тельница	n.f	Godbaarster; Moeder van God
богородице	10	Богоро́дица	n.f	Moeder Gods; Theotokos; Godbaarster
боготечная	1	боготе́чный	adj	door God geleid; naar God gaand; Godsgeleid
богу	12	Бог	n.m	God
божественнаго	2	Боже́ственный	adj	goddelijk
божественная	2	Боже́ственный	adj	goddelijk
божиею	1	Бо́жий	adj	Gods; van God; goddelijk
божия	7	Бо́жий	adj	Gods; van God; goddelijk
бозе	1	Бог	n.m	God
болезней	2	боле́знь	n.f	ziekte; lijden; smart; pijn
болезнех	1	боле́знь	n.f	ziekte; lijden; smart; pijn
больным	1	больны́й	adj/n	ziek (de zieken)
брани	2	брань	n.f	strijd; oorlog; slag; krijg
броне	1	броня́	n.f	pantser; harnas; borstwering
будущей	1	бу́дущий	adj	toekomstig; komend
бурю	1	бу́ря	n.f	storm; onweer
бывает	1	быва́ти	v	zijn; geschieden; plaatsvinden; worden
бывшая	1	быва́ти	v	zijn; geschieden; plaatsvinden; worden
бывши	1	быва́ти	v	zijn; geschieden; plaatsvinden; worden
быстрое	1	бы́стрый	adj	snel; vlug; spoedig
бысть	2	бы́ти	v	zijn; (бысть) was, geschiedde; (еси) gij zijt; (суть) zij zijn; (сущий) zijnde, die is
в	27	в, во	prep	in; naar; op; tot
вдов	1	вдова́	n.f	weduwe
вдовам	1	вдова́	n.f	weduwe
ведают	1	ве́дати, ве́дети	v	weten; kennen
ведуще	1	ве́дати, ве́дети	v	weten; kennen
веки	1	век	n.m	eeuw; eeuwigheid; (mv.) eeuwen
веков	1	век	n.m	eeuw; eeuwigheid; (mv.) eeuwen
великия	1	вели́кий	adj	groot
великолепое	1	великоле́пый	adj	grootluisterrijk; luisterrijk; majesteitelijk
величание	1	велича́ние	n.n	verheerlijking; grootmaking; lofprijzing
величающе	2	велича́ти	v	grootmaken; verheerlijken; verheffen
величия	2	вели́чие	n.n	grootheid; majesteit; (mv.) grote daden
венче	2	вене́ц	n.m	kroon; krans; kroon der overwinning
вера	1	ве́ра	n.f	geloof
верная	1	ве́рный	adj/n	gelovig; getrouw; (mv.) de gelovigen
верно	2	ве́рно	adv	gelovig; in geloof; getrouw
верным	1	ве́рный	adj/n	gelovig; getrouw; (mv.) de gelovigen
верных	5	ве́рный	adj/n	gelovig; getrouw; (mv.) de gelovigen
верою	8	ве́ра	n.f	geloof
верующе	1	ве́ровати	v	geloven
веры	1	ве́ра	n.f	geloof
весей	1	весь (село)	n.f	dorp
веселие	4	весе́лие	n.n	vreugde; blijdschap; verheuging
веси	1	весь (село)	n.f	dorp
весь	2	весь (весь, вся, все)	pron	al; geheel; alle; allen
вечнаго	1	ве́чный	adj	eeuwig
вечных	1	ве́чный	adj	eeuwig
взирающе	1	взира́ти	v	opzien; aanschouwen; de blik richten op
взята	1	взя́ти	v	nemen; opnemen
видев	2	ви́дети	v	zien
видим	1	ви́дети	v	zien
видящи	1	ви́дети	v	zien
вития	1	вити́я	n.m	redenaar; retor; welsprekende
владычице	6	Влады́чица	n.f	Gebiedster; Meesteres; Vrouwe; Heerseres
властем	1	власть	n.f	gezag; overheid; (mv.) de autoriteiten
вместила	1	вмести́ти	v	bevatten; omvatten; in zich opnemen
вместилище	2	вмести́лище	n.n	vat; verblijfplaats; woonstede; omvatting
во	16	в, во	prep	in; naar; op; tot
вожделенная	1	вожделе́нный	adj	vurig verlangd; begeerd; gewenst
воздвигнутую	1	воздви́гнути	v	oprichten; verwekken; opwekken
возжигает	1	возжига́ти	v	ontsteken; aansteken
воззри	1	воззре́ти	v	aanzien; de blik richten op; zie (neer)
возлагающе	1	возлага́ти, возложи́ти	v	leggen op; stellen (hoop) op
возложивше	1	возлага́ти, возложи́ти	v	leggen op; stellen (hoop) op
возможна	1	возмо́жный	adj	mogelijk
возопи	1	возопи́ти	v	uitroepen; luid roepen
возопиша	1	возопи́ти	v	uitroepen; luid roepen
возсиявши	1	возсия́ти	v	opstralen; opgaan (van licht); schitteren
возстают	1	возстава́ти	v	opstaan; zich oprichten
воини	1	во́ин	n.m	krijger; krijgsman; soldaat
воинов	2	во́ин	n.m	krijger; krijgsman; soldaat
воинства	1	во́инство	n.n	leger; krijgsmacht; heerschaar; heer
воинству	3	во́инство	n.n	leger; krijgsmacht; heerschaar; heer
воистинну	2	вои́стинну	adv	waarlijk; in waarheid
воня	1	воня́	n.f	geur; welriekende geur
вопием	11	вопи́ти	v	roepen; uitroepen; aanroepen
вопиют	2	вопи́ти	v	roepen; uitroepen; aanroepen
вопиюще	1	вопи́ти	v	roepen; uitroepen; aanroepen
вопиющим	1	вопи́ти	v	roepen; uitroepen; aanroepen
вопиющих	5	вопи́ти	v	roepen; uitroepen; aanroepen
вопияше	1	вопи́ти	v	roepen; uitroepen; aanroepen
воплощашеся	2	воплоща́тися	v	vlees worden; mens worden; zich belichamen
воспеваем	1	воспева́ти	v	bezingen; lofzingen; loven in gezang
воспевают	1	воспева́ти	v	bezingen; lofzingen; loven in gezang
воспевающе	1	воспева́ти	v	bezingen; lofzingen; loven in gezang
восприемши	1	восприя́ти	v	ontvangen; in zich opnemen
восходит	1	восходи́ти	v	opstijgen; opgaan; overgaan op
восхотевши	1	восхоте́ти	v	willen; wensen; verlangen
врага	1	враг	n.m	vijand
врагами	1	враг	n.m	vijand
враги	1	враг	n.m	vijand
врагов	3	враг	n.m	vijand
вражия	1	вра́жий	adj	vijandelijk; van de vijand
вразумлению	1	вразумле́ние	n.n	verstandsverlichting; onderrichting; ingegeven inzicht
врачевство	1	врачевство́	n.n	geneesmiddel; medicijn; genezing
времена	1	вре́мя	n.n	tijd
временней	1	вре́менный	adj	tijdelijk; vergankelijk; van dit tijdelijke leven
все	3	весь (весь, вся, все)	pron	al; geheel; alle; allen
всевышняго	1	Всевы́шний	adj/n	Allerhoogste
всегда	2	всегда́	adv	altijd; steeds
всем	6	весь (весь, вся, все)	pron	al; geheel; alle; allen
всеми	2	весь (весь, вся, все)	pron	al; geheel; alle; allen
всемилостивая	4	Всеми́лостивый	adj	Albarmhartige; Alontfermende
всенепорочная	1	Всенепоро́чный	adj	Alonbevlekte; Alreine; geheel onbevlekte
всепетая	1	Всепе́тый	adj	Alombezongene; Algeprezene; door allen bezongen
всесильная	1	Всеси́льный	adj	Almachtige; Alsterke
всех	23	весь (весь, вся, все)	pron	al; geheel; alle; allen
всея	1	весь (весь, вся, все)	pron	al; geheel; alle; allen
вси	4	весь (весь, вся, все)	pron	al; geheel; alle; allen
всю	1	весь (весь, вся, все)	pron	al; geheel; alle; allen
вся	3	весь (весь, вся, все)	pron	al; geheel; alle; allen
всяк	1	вся́кий	pron/adj	ieder; elk; allerlei; alle
всякаго	1	вся́кий	pron/adj	ieder; elk; allerlei; alle
всяких	3	вся́кий	pron/adj	ieder; elk; allerlei; alle
всякия	2	вся́кий	pron/adj	ieder; elk; allerlei; alle
всякой	1	вся́кий	pron/adj	ieder; elk; allerlei; alle
выну	4	вы́ну	adv	altijd; voortdurend; te allen tijde
высоты	1	высота́	n.f	hoogte
вышняго	3	Вы́шний	adj/n	Allerhoogste; de Hoogste
вышшая	1	вы́шший	adj.comp	hoger; verhevener
глада	1	глад	n.m	honger; hongersnood
глас	1	глас	n.m	stem; roep; klank
глубины	1	глубина́	n.f	diepte
глубоце	1	глубо́кий	adj	diep
гневнаго	1	гне́вный	adj	toornig; van (Gods) toorn
гордыни	1	горды́ня	n.f	hoogmoed; trots; hovaardij
горе	1	горе́	adv	omhoog; boven; in den hoge
господа	1	Госпо́дь	n.m	Heer; de Here
господе	1	Госпо́дь	n.m	Heer; de Here
господем	1	Госпо́дь	n.m	Heer; de Here
господня	1	Госпо́день	adj	des Heren; van de Heer
господь	1	Госпо́дь	n.m	Heer; de Here
госпоже	4	Госпожа́	n.f	Vrouwe; Gebiedster; Meesteres
готовый	1	гото́вый	adj	gereed; bereid
град	1	град	n.m	stad
града	3	град	n.m	stad
граде	2	град	n.m	stad
градех	1	град	n.m	stad
градов	2	град	n.m	stad
градом	1	град	n.m	stad
граду	1	град	n.m	stad
грады	2	град	n.m	stad
грехов	2	грех	n.m	zonde
греховных	1	грехо́вный	adj	zondig; van de zonde
греховныя	2	грехо́вный	adj	zondig; van de zonde
грешнии	3	гре́шный	adj/n	zondig; (zn.) zondaar
грешным	1	гре́шный	adj/n	zondig; (zn.) zondaar
грешных	3	гре́шный	adj/n	zondig; (zn.) zondaar
грозное	1	гро́зный	adj	dreigend; geducht; vreselijk
да	10	да	conj/part	opdat; dat; moge; laat
данному	1	да́ти, дая́ти	v	geven
дар	1	дар	n.m	gave; geschenk
дара	1	дар	n.m	gave; geschenk
даровала	1	дарова́ти	v	schenken; verlenen; geven
дарование	1	дарова́ние	n.n	schenking; verlening; gave
даровася	1	дарова́тися	v	geschonken worden; verleend worden
даруй	2	дарова́ти	v	schenken; verlenen; geven
дарующая	1	дарова́ти	v	schenken; verlenen; geven
дарующи	1	дарова́ти	v	schenken; verlenen; geven
дати	1	да́ти, дая́ти	v	geven
дающаго	1	да́ти, дая́ти	v	geven
дев	2	де́ва	n.f	maagd
девам	1	де́ва	n.f	maagd
дево	5	де́ва	n.f	maagd
девства	2	де́вство	n.n	maagdelijkheid
девствующим	1	де́вствовати	v	in maagdelijkheid leven; maagdelijk leven
дел	1	де́ло	n.n	daad; werk
делех	1	де́ло	n.n	daad; werk
демони	1	де́мон	n.m	demon
демонское	1	де́монский	adj	demonisch; van demonen
день	2	день	n.m	dag
державный	1	держа́вный	adj	machtig; heersend; soeverein
державным	1	держа́вный	adj	machtig; heersend; soeverein
держимым	1	держа́ти	v	houden; dragen
дерзающи	1	дерза́ти	v	wagen; durven; moed vatten
дерзновение	1	дерзнове́ние	n.n	vrijmoedigheid; vrijmoedige toegang; vertrouwen
дивное	1	ди́вный	adj	wonderbaar; wonderbaarlijk; verwonderlijk
дивному	1	ди́вный	adj	wonderbaar; wonderbaarlijk; verwonderlijk
дивящеся	1	диви́тися	v	zich verwonderen; verbaasd staan
дланию	1	длань	n.f	handpalm; hand
дни	2	день	n.m	dag
до	2	до	prep	tot; tot aan
добрая	1	до́брый	adj	goed; deugdelijk; edel
доброе	2	до́брый	adj	goed; deugdelijk; edel
добрых	1	до́брый	adj	goed; deugdelijk; edel
добрыя	1	до́брый	adj	goed; deugdelijk; edel
доме	1	дом	n.m	huis
домы	1	дом	n.m	huis
достоянию	1	достоя́ние	n.n	waardigheid; (по достоянию) naar waarde, naar behoren
древле	2	дре́вле	adv	oudtijds; weleer; vanouds
древняя	1	дре́вний	adj	oud; aloud
дух	1	дух	n.m	geest; Geest (Heilige)
духа	1	дух	n.m	geest; Geest (Heilige)
духом	1	дух	n.m	geest; Geest (Heilige)
душевно	1	душе́вно	adv	naar de ziel; in de ziel
душевных	1	душе́вный	adj	van de ziel; ziels-
душевредных	1	душевре́дный	adj	zielsverderfelijk; schadelijk voor de ziel
душепагубнаго	1	душепа́губный	adj	zielsverdervend; zielsdodend
душеполезных	1	душеполе́зный	adj	zielsnuttig; heilzaam voor de ziel
душею	1	душа́	n.f	ziel
души	2	душа́	n.f	ziel
егда	2	егда́	conj	toen; wanneer
его	2	он, она, они	pron	hij; zij; (Еюже) door wie; (Еяже ради) om wier wil; (егоже) hetwelk, waarvoor
егоже	1	он, она, они	pron	hij; zij; (Еюже) door wie; (Еяже ради) om wier wil; (егоже) hetwelk, waarvoor
единая	1	еди́ный	adj/num	enige; ene; enkele
еже	1	е́же	conj	(во еже + inf.) om te; opdat
ей	1	он, она, они	pron	hij; zij; (Еюже) door wie; (Еяже ради) om wier wil; (егоже) hetwelk, waarvoor
елей	1	еле́й	n.m	olie (olijfolie); zalfolie
ему	2	он, она, они	pron	hij; zij; (Еюже) door wie; (Еяже ради) om wier wil; (егоже) hetwelk, waarvoor
ересей	1	е́ресь	n.f	ketterij; dwaalleer
ермоген	1	Ермоге́н	n.prop	Hermogenes (Germogen), patriarch van Moskou
еси	12	бы́ти	v	zijn; (бысть) was, geschiedde; (еси) gij zijt; (суть) zij zijn; (сущий) zijnde, die is
естества	1	естество́	n.n	natuur; wezen; aard
еюже	1	он, она, они	pron	hij; zij; (Еюже) door wie; (Еяже ради) om wier wil; (егоже) hetwelk, waarvoor
ея	5	он, она, они	pron	hij; zij; (Еюже) door wie; (Еяже ради) om wier wil; (егоже) hetwelk, waarvoor
еяже	2	он, она, они	pron	hij; zij; (Еюже) door wie; (Еяже ради) om wier wil; (егоже) hetwelk, waarvoor
же	6	же	part	echter; maar; (nadruk)
жен	1	жена́	n.f	vrouw
женах	1	жена́	n.f	vrouw
живоносный	2	живоно́сный	adj	levenbrengend; levendragend; levenschenkend
живота	2	живо́т	n.m	leven
животная	1	живо́тный	adj	des levens; levend; levengevend
жизни	3	жизнь	n.f	leven
жилища	1	жили́ще	n.n	woning; verblijf; woonstede
жилище	1	жили́ще	n.n	woning; verblijf; woonstede
житие	2	житие́	n.n	leven; levenswandel; levenswijze
жития	1	житие́	n.n	leven; levenswandel; levenswijze
за	4	за	prep	voor; ten behoeve van
заблуждений	1	заблужде́ние	n.n	dwaling; verdwazing
забрало	1	забра́ло	n.n	borstwering; bolwerk; wal; vestingmuur
заступай	2	заступа́ти	v	beschermen; verdedigen; het opnemen voor
заступление	1	заступле́ние	n.n	bescherming; voorspraak; bijstand
заступления	1	заступле́ние	n.n	bescherming; voorspraak; bijstand
заступница	2	Засту́пница	n.f	Beschermvrouwe; Beschermster; Voorspreekster; Bijstand
заступнице	19	Засту́пница	n.f	Beschermvrouwe; Beschermster; Voorspreekster; Bijstand
заступницу	1	Засту́пница	n.f	Beschermvrouwe; Beschermster; Voorspreekster; Bijstand
зачала	1	зача́ти	v	ontvangen (zwanger worden)
защищаеши	1	защища́ти	v	verdedigen; beschermen
защищение	1	защище́ние	n.n	verdediging; bescherming
звезда	1	звезда́	n.f	ster
здравие	1	здра́вие	n.n	gezondheid
земли	7	земля́	n.f	aarde; land
земных	1	земны́й	adj	aards
земныя	2	земны́й	adj	aards
зловерием	1	злове́рие	n.n	kwaad geloof; valse godsdienst; wangeloof
зловерия	1	злове́рие	n.n	kwaad geloof; valse godsdienst; wangeloof
злых	1	злый	adj	kwaad; boos; slecht
злыя	1	злый	adj	kwaad; boos; slecht
знамение	1	зна́мение	n.n	teken; wonderteken
знамения	2	зна́мение	n.n	teken; wonderteken
знаменьми	1	зна́мение	n.n	teken; wonderteken
знамя	1	зна́мя	n.n	vaandel; banier; standaard
знаний	1	зна́ние	n.n	kennis
зовем	3	зва́ти	v	roepen; aanroepen
зол	2	зло	n.n	kwaad; (mv.) kwaden, rampen
зрение	1	зре́ние	n.n	gezicht; gezichtsvermogen
зрим	1	зре́ти	v	aanschouwen; zien
и	119	и	conj	en; ook; zelfs
ибо	1	и́бо	conj	want; immers
идеже	1	иде́же	adv/conj	waar
из	2	из	prep	uit
избави	1	изба́вити	v	verlossen; bevrijden; redden
избавити	1	изба́вити	v	verlossen; bevrijden; redden
избавление	7	избавле́ние	n.n	verlossing; bevrijding; redding
избавлении	1	избавле́ние	n.n	verlossing; bevrijding; redding
избавльшая	1	изба́вити	v	verlossen; bevrijden; redden
избавляются	1	избавля́ти(ся)	v	verlossen; bevrijden; (refl.) verlost worden
избавляющая	1	избавля́ти(ся)	v	verlossen; bevrijden; (refl.) verlost worden
избавляющи	1	избавля́ти(ся)	v	verlossen; bevrijden; (refl.) verlost worden
избранной	2	избра́нный	adj/part	uitverkoren; verkoren
известная	1	изве́стный	adj	zeker; betrouwbaar; welbekend; vaststaand
известное	1	изве́стный	adj	zeker; betrouwbaar; welbekend; vaststaand
израстившая	1	израсти́ти	v	doen groeien; voortbrengen; doen ontspruiten
изумевает	1	изумева́ти	v	verbijsterd staan; niet bij machte zijn; buiten zichzelf raken
иисуса	1	Иису́с	n.prop	Jezus
иисусом	1	Иису́с	n.prop	Jezus
икон	1	ико́на	n.f	icoon; ikoon; beeld
икона	3	ико́на	n.f	icoon; ikoon; beeld
иконам	1	ико́на	n.f	icoon; ikoon; beeld
иконах	1	ико́на	n.f	icoon; ikoon; beeld
иконе	3	ико́на	n.f	icoon; ikoon; beeld
иконою	4	ико́на	n.f	icoon; ikoon; beeld
икону	5	ико́на	n.f	icoon; ikoon; beeld
иконы	13	ико́на	n.f	icoon; ikoon; beeld
им	1	он, она, они	pron	hij; zij; (Еюже) door wie; (Еяже ради) om wier wil; (егоже) hetwelk, waarvoor
имамы	3	име́ти	v	hebben
имаши	1	име́ти	v	hebben
имеющи	1	име́ти	v	hebben
имущим	1	име́ти	v	hebben
имя	1	и́мя	n.n	naam
иноплеменных	2	иноплеме́нный	adj/n	vreemd; van een ander volk; (mv.) vreemde volken, vreemdelingen
иноческое	1	и́ноческий	adj	monastiek; kloosterlijk; van het monnikenleven
иныя	3	и́ный	adj/pron	ander
исканию	1	иска́ние	n.n	zoeken; het zoeken
искушений	1	искуше́ние	n.n	verzoeking; bekoring; beproeving
исповедание	2	испове́дание	n.n	belijdenis; geloofsbelijdenis
исповедати	1	испове́дати	v	belijden; verkondigen; openlijk erkennen
исполнения	1	исполне́ние	n.n	vervulling; volheid
исполни	2	испо́лнити	v	vervullen; vervul
исправление	2	исправле́ние	n.n	terechtbrenging; verbetering; correctie
истекают	1	истека́ти	v	uitstromen; uitvloeien
истинное	1	и́стинный	adj	waar; waarachtig
источающая	1	источа́ти, источи́ти	v	doen (uit)stromen; uitgieten; doen ontspringen
источила	1	источа́ти, источи́ти	v	doen (uit)stromen; uitgieten; doen ontspringen
источник	1	исто́чник	n.m	bron; wel
источниче	1	исто́чник	n.m	bron; wel
исхитиша	1	исхи́тити	v	ontrukken; wegrukken; met geweld bevrijden
исцеление	3	исцеле́ние	n.n	genezing; heling
исцеляются	1	исцеля́тися	v	genezen worden
их	3	он, она, они	pron	hij; zij; (Еюже) door wie; (Еяже ради) om wier wil; (егоже) hetwelk, waarvoor
ищущи	1	иска́ти	v	zoeken
ищущих	1	иска́ти	v	zoeken
к	18	к, ко	prep	tot; naar
казани	1	Каза́нь	n.prop	Kazan
казанской	1	Каза́нский	adj	van Kazan; Kazanse
како	1	ка́ко	adv/conj	hoe
камень	1	ка́мень	n.m	steen; rots
кающихся	1	ка́ятися	v	zich bekeren; berouw hebben; boete doen
клас	1	клас	n.m	korenaar; aar
ко	4	к, ко	prep	tot; naar
козни	2	кознь	n.f	listen; lagen; kuiperijen; boze plannen
конца	2	коне́ц	n.m	einde
крамолы	2	крамо́ла	n.f	oproer; opstand; muiterij; tweedracht
крепкую	1	кре́пкий	adj	sterk; krachtig; machtig
крепосте	1	кре́пость	n.f	sterkte; kracht; vesting; bolwerk
кресте	1	крест	n.m	kruis
лесть	1	лесть	n.f	bedrog; verleiding; dwaling; misleiding
ликовствует	1	ликовствова́ти	v	jubelen; juichen; in koor feestvieren
лица	1	лице́	n.n	aangezicht; gelaat
лицы	1	лик	n.m	koor; rei; schare
лобызаем	1	лобыза́ти	v	kussen; omhelzen
лобызающе	1	лобыза́ти	v	kussen; omhelzen
лучами	2	луча́	n.f	straal; lichtstraal
любезно	1	любе́зно	adv	liefdevol; met liefde
любовию	2	любо́вь	n.f	liefde
любовь	1	любо́вь	n.f	liefde
людем	1	лю́дие	n.pl	volk; mensen
людех	1	лю́дие	n.pl	volk; mensen
люди	2	лю́дие	n.pl	volk; mensen
людие	4	лю́дие	n.pl	volk; mensen
лютых	1	лю́тый	adj	wreed; fel; bitter; zwaar
малое	1	ма́лый	adj	klein; gering
марие	1	Мари́я	n.prop	Maria
матернее	1	Ма́терний	adj	moederlijk; van een moeder
матерними	1	Ма́терний	adj	moederlijk; van een moeder
матернюю	1	Ма́терний	adj	moederlijk; van een moeder
матерь	1	Ма́ти	n.f	moeder
мати	9	Ма́ти	n.f	moeder
мглу	1	мгла	n.f	nevel; duisternis; mist
милосердая	1	милосе́рдый	adj	barmhartig; ontfermend
милостей	1	ми́лость	n.f	ontferming; barmhartigheid; genade; goedertierenheid
милости	5	ми́лость	n.f	ontferming; barmhartigheid; genade; goedertierenheid
милость	3	ми́лость	n.f	ontferming; barmhartigheid; genade; goedertierenheid
мир	2	мир (вселенная)	n.m	wereld
мир	2	мир (покой)	n.m	vrede
мира	1	мир (покой)	n.m	vrede
мире	1	мир (покой)	n.m	vrede
мирное	1	ми́рный	adj	vreedzaam; vredig
мирну	1	ми́рный	adj	vreedzaam; vredig
мирстии	1	мирски́й	adj/n	wereldlijk; (mv.) leken
миру	2	мир (вселенная)	n.m	wereld
младенца	2	Младе́нец	n.m	Kind; Kindje
младенцем	1	Младе́нец	n.m	Kind; Kindje
многия	2	мно́гий	adj	veel; vele
много	1	мно́го	adv	veel; zeer
многовещанныя	1	многовеща́нный	adj	welsprekend; veelsprekend; woordenrijk
многотекущая	1	многотеку́щий	adj	rijk stromend; overvloedig vloeiend
многоценнаго	1	многоце́нный	adj	kostbaar; van grote waarde
множества	1	мно́жество	n.n	menigte; veelheid; groot aantal
множество	1	мно́жество	n.n	menigte; veelheid; groot aantal
может	1	мощи́	v	kunnen; vermogen
моление	1	моле́ние	n.n	smeekbede; gebed; smeking
моления	1	моле́ние	n.n	smeekbede; gebed; smeking
молим	1	моли́ти(ся)	v	bidden; smeken
молитва	1	моли́тва	n.f	gebed
молитвами	1	моли́тва	n.f	gebed
молитвы	1	моли́тва	n.f	gebed
молиши	1	моли́ти(ся)	v	bidden; smeken
молние	1	мо́лния	n.f	bliksem
моляшеся	1	моли́ти(ся)	v	bidden; smeken
молящимся	1	моли́ти(ся)	v	bidden; smeken
молящихся	1	моли́ти(ся)	v	bidden; smeken
молящияся	1	моли́ти(ся)	v	bidden; smeken
монаси	1	мона́х	n.m	monnik
морю	1	мо́ре	n.n	zee
моя	1	мой	pron	mijn
мрак	1	мрак	n.m	duisternis; donkerheid
мудрая	1	му́дрый	adj	wijs
мученическое	2	му́ченический	adj	van de martelaren; martelaars-
мы	5	мы	pron	wij; ons
на	16	на	prep	op; tegen; naar
навета	1	наве́т	n.m	laster; kwade opzet; aanslag; boze toeleg
нагих	1	наги́й	adj/n	naakt; (mv.) de naakten
надеждо	2	наде́жда	n.f	hoop
надеждою	1	наде́жда	n.f	hoop
надежду	1	наде́жда	n.f	hoop
надежды	1	наде́жда	n.f	hoop
надеяние	1	надея́ние	n.n	hoop; verwachting
нам	7	мы	pron	wij; ons
намерением	1	наме́рение	n.n	voornemen; bedoeling; opzet
напастей	2	напа́сть	n.f	tegenspoed; onheil; aanvechting; beproeving
напастех	2	напа́сть	n.f	tegenspoed; onheil; aanvechting; beproeving
напрасныя	1	напра́сный	adj	plotseling; onverwacht
народу	1	наро́д	n.m	volk; natie
нас	7	мы	pron	wij; ons
наследники	1	насле́дник	n.m	erfgenaam
наставляющая	1	наставля́ти	v	leiden; op de weg brengen; onderrichten
наставляющи	1	наставля́ти	v	leiden; op de weg brengen; onderrichten
наставнице	2	Наста́вница	n.f	Leidsvrouw; Onderwijzeres; Lerares
настоящая	1	настоя́щий	adj	tegenwoordig; huidig
находящих	1	находи́ти	v	overkomen; overvallen; treffen
начало	1	нача́ло	n.n	begin; aanvang
начинания	1	начина́ние	n.n	onderneming; begonnen werk; plan
наш	1	наш	pron	ons; onze
наша	3	наш	pron	ons; onze
наше	3	наш	pron	ons; onze
нашего	4	наш	pron	ons; onze
нашей	1	наш	pron	ons; onze
нашем	1	наш	pron	ons; onze
нашему	1	наш	pron	ons; onze
нашествия	2	наше́ствие	n.n	inval; invasie; aanval
нашим	1	наш	pron	ons; onze
наших	3	наш	pron	ons; onze
нашу	4	наш	pron	ons; onze
не	7	не	part	niet
неба	1	не́бо	n.n	hemel
небесе	2	не́бо	n.n	hemel
небеси	1	не́бо	n.n	hemel
небеснаго	3	небе́сный	adj	hemels
небесный	1	небе́сный	adj	hemels
небесным	1	небе́сный	adj	hemels
